PAGES: 17  WORDS: 5519  TABLES: 0  OMATHS: 0
[001P] s=표준 f=맑은 고딕/18 b=-1 | 모아컴코리아 HW 설계 전문면접 기술이론 및 답변 전략
[265P] s=표준 f=맑은 고딕/10 b=0 | IP3는 3차 intermodulation 성능을 나타내는 지표입니다. 두 tone 입력에서 IM3 성분은 입력이 1 dB 증가할 때 약 3 dB 증가합니다. 그래서 큰 신호 환경에서 receiver linearity를 판단할 때 중요합니다.
[266P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “RF 출력만 높이는 것이 아니라 P1dB, IP3, thermal, EMI/EMC, 전원 margin을 함께 봐야 합니다.”
[267P] s=표준 f=맑은 고딕/11 b=-1 | SFDR
[268P] s=표준 f=맑은 고딕/10 b=0 | SFDR 근사: SFDR ≈ (2/3)(IIP3 - Noise Floor)
[269P] s=표준 f=맑은 고딕/10 b=0 | SFDR은 Spurious-Free Dynamic Range로, noise floor와 distortion 성분 사이에서 깨끗하게 사용할 수 있는 dynamic range를 의미합니다. 수신기나 ADC 기반 신호처리 장비에서 중요합니다.
[270P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “수신 장비에서는 약한 신호를 받는 능력뿐 아니라 강한 인접 신호가 있을 때 distortion 없이 버티는 dynamic range도 중요합니다.”
[271P] s=표준 f=맑은 고딕/11 b=-1 | EVM
[272P] s=표준 f=맑은 고딕/10 b=0 | EVM(%) = sqrt(sum |Smeas - Sideal|^2 / sum |Sideal|^2) x 100
[273P] s=표준 f=맑은 고딕/10 b=0 | EVM은 modulation 신호가 이상적인 constellation에서 얼마나 벗어났는지를 나타냅니다. RF noise, phase noise, IQ imbalance, nonlinearity, clock jitter, DFE 문제 등이 EVM을 악화시킬 수 있습니다.
[274P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “5G/LTE RU나 Digital&RF Module에서는 EVM이 나빠졌을 때 RF path만이 아니라 LO/clock, ADC/DAC, DFE, power integrity, FPGA 설정을 함께 봐야 합니다.”
[275P] s=표준 f=맑은 고딕/14 b=-1 | 부록 I. 방산 개발관리 수식과 정량 관리
[276P] s=표준 f=맑은 고딕/11 b=-1 | Risk Priority Number
[277P] s=표준 f=맑은 고딕/10 b=0 | FMEA에서 자주 쓰는 위험도: RPN = Severity x Occurrence x Detection
[278P] s=표준 f=맑은 고딕/10 b=0 | Severity는 영향도, Occurrence는 발생 가능성, Detection은 검출 난이도입니다. 숫자가 높을수록 우선 대응이 필요합니다. HW 개발에서는 부품 수급, 회로 리스크, 시험 실패 가능성, 인증 리스크를 정량적으로 관리할 때 활용할 수 있습니다.
[279P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “부장급 HW 설계자는 감으로만 리스크를 보는 것이 아니라 영향도, 발생 가능성, 검출 가능성을 기준으로 우선순위를 정하고 일정과 검증 계획에 반영해야 합니다.”
[280P] s=표준 f=맑은 고딕/11 b=-1 | 검증 커버리지 관점
[281P] s=표준 f=맑은 고딕/10 b=0 | 검증 커버리지 개념: Verification coverage = Verified requirements / Total requirements x 100%
[282P] s=표준 f=맑은 고딕/10 b=0 | 방산 프로젝트에서는 요구사항이 시험과 증빙으로 닫혀야 합니다. VCRM은 요구사항, 검증 방법, 시험 결과, evidence를 연결해 누락을 막는 도구입니다.
[283P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “저는 요구사항을 HW/SW 사양, ICD, 시험절차서, 성적서, evidence package로 연결해 관리하는 방식이 중요하다고 봅니다.”
[284P] s=표준 f=맑은 고딕/11 b=-1 | Defect closure
[285P] s=표준 f=맑은 고딕/10 b=0 | Defect closure rate = Closed defects / Total defects x 100%
[286P] s=표준 f=맑은 고딕/10 b=0 | 이 수식 자체보다 중요한 것은 defect log를 통해 문제를 open, analysis, action, verification, close 상태로 관리하는 것입니다. field issue나 양산검증에서는 문제를 발견하는 것보다 재발 없이 닫는 것이 더 중요합니다.
[287P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “field issue는 조치 완료보다 재검증과 evidence까지 남겨야 닫힌 것으로 봅니다. 이 관점으로 defect log와 release readiness를 관리했습니다.”
[288P] s=표준 f=맑은 고딕/14 b=-1 | 부록 J. 수식 질문에 대한 임팩트 있는 답변 예시
[289P] s=표준 f=맑은 고딕/11 b=-1 | 질문: Link Budget을 어떻게 설계검토에 활용합니까?
[290P] s=표준 f=맑은 고딕/10 b=0 | 답변 예시: “Link Budget은 통신 가능 여부를 보는 계산표이면서 동시에 설계 리스크를 찾는 도구입니다. Pr = Pt + Gt + Gr - Loss 구조로 보면 EIRP가 부족한지, antenna gain이 부족한지, path loss나 pointing loss가 큰지 구분할 수 있습니다. 현장에서는 C/N0와 throughput이 떨어질 때 이 구조를 기준으로 RF path, antenna pointing, blockage, Digital H/W 설정을 함께 확인합니다.”
[291P] s=표준 f=맑은 고딕/11 b=-1 | 질문: 수신감도 저하를 이론적으로 어떻게 설명하겠습니까?
[292P] s=표준 f=맑은 고딕/10 b=0 | 답변 예시: “수신감도는 -174 dBm/Hz + 10logB + NF + 요구 SNR + margin으로 볼 수 있습니다. 따라서 대역폭이 커지거나 NF가 나빠지면 감도는 떨어집니다. 실제 장비에서는 LNA 앞단 loss, cable/connector, filter, LNA bias, clock/LO 품질, ADC 입력 조건까지 함께 봐야 합니다.”
[293P] s=표준 f=맑은 고딕/11 b=-1 | 질문: ADC 성능 문제에서 clock jitter가 왜 중요합니까?
[294P] s=표준 f=맑은 고딕/10 b=0 | 답변 예시: “ADC의 jitter 제한 SNR은 -20log(2 pi fin tj)로 볼 수 있습니다. 입력 주파수가 높을수록 같은 jitter도 SNR을 더 크게 악화시킵니다. 그래서 RF 신호처리 보드에서는 ADC 자체 사양뿐 아니라 clock source, routing, power noise coupling, grounding을 함께 검토해야 합니다.”
[295P] s=표준 f=맑은 고딕/11 b=-1 | 질문: Beam steering의 이론적 핵심은 무엇입니까?
[296P] s=표준 f=맑은 고딕/10 b=0 | 답변 예시: “phased array에서는 인접 element phase shift가 Delta_phi = (2 pi d/lambda) sin(theta)로 결정됩니다. 즉 주파수, element spacing, 조향각에 따라 필요한 phase control이 달라집니다. 실제 제품에서는 이론값뿐 아니라 RF path 오차, element 편차, calibration, temperature 영향을 보정해야 원하는 pointing 성능이 나옵니다.”
[297P] s=표준 f=맑은 고딕/11 b=-1 | 질문: EVM이 나빠지면 어디를 보겠습니까?
[298P] s=표준 f=맑은 고딕/10 b=0 | 답변 예시: “EVM은 measured symbol이 ideal symbol에서 얼마나 벗어났는지를 보는 지표입니다. 원인은 RF noise, phase noise, IQ imbalance, PA nonlinearity, clock jitter, ADC/DAC, DFE, power integrity까지 다양합니다. 그래서 저는 RF spectrum, LO/clock, power, ADC/DAC interface, FPGA/DFE 설정을 순서대로 분리해 봅니다.”
[299P] s=표준 f=맑은 고딕/10 b=0 | 
